,Unnamed: 0,numChapter,Chapter,numSubChapter,subChapter,Type,numSubTitle,subTitle,content,Ref,PMI_content,PMI_chapter,PMI_subtitle
0,0,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.1 Project charter,11.1.1,project char ter described section project charter documents highlevel project description boundaries high level requirements risks,['Section 4.1.3.1.'],add corresponding risk responses project management plan developing detailed set risk responses projectrelated implications evaluated inclusion modiﬁ ed project management plan include costs resource assignments scheduling details changes project documentation changes formally approved along additional risks may carry risk response planning cannot considered complete review document predicted exposure,CHAPTER 8  -  PLAN RISK RESPONSES,8.5.2 Add Corresponding Risk Responses to the Project Management Plan
1,1,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.2 Project management plan,11.1.1,project managem ent plan described section planning project risk management approved subsidiary management plans taken consideration order make risk management plan consistent methodology outlined project management plan components might inﬂuence plan risk management process,['Section 4.2.3.1.'],templates order beneﬁ experience existing best practice risk management planning take account relevant existing templates work products risk status reports risk breakdown structures risk register decision made templates relevant project adapted included risk management plan documenting results plan risk management process,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.3.2 Templates
2,2,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.3 Project documents,11.1.1,proje ct docum ents project documents considered inputs process include limited stakeholder register described section stakeholder register contains details projects stakeholders provides overview project roles attitude toward risk project useful determining roles responsibilities managing risk project well setting risk thresholds project,['Section 13.1.3.1'],responsibility project risk management may considered simplistic say risk management everyones responsibility previously stated however important management project risk left risk specialists project risk management included integral part project processes since project risks affect project objectives anyone interest achieving objectives play role project risk management speciﬁ c roles depend project team members stakeholders place within project relation project objectives roles responsibilities project risk management clearly deﬁ ned communicated individuals held responsible accountable results includes allocating responsibility speciﬁ c activities within risk process well resulting actions required implement agreedupon responses responsibility also allocated ensuring riskrelated lessons captured future use project managers role project risk management,CHAPTER 2  -  PRINCIPLES AND CONCEPTS,2.7 Responsibility for Project Risk Management
3,3,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.4 Enterprise environmental factors,11.1.1,enterpr ise environm ental factors enterprise environmental factors inﬂuence plan risk management process include limited overall risk thresholds set organization key stakeholders,[],tracking trigger conditions trigger conditions corresponding metrics deﬁ ned plan risk responses process tools required evaluate track conditions project baseline speciﬁ ed thresholds based actual status chosen provide information risks related deliverables performance well projectrelated features time cost tracking overall risk,CHAPTER 9  -  MONITOR AND CONTROL RISKS,9.3.2 Tracking Trigger Conditions
4,4,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.5 Organizational process assets,11.1.1,organizational proce ss asse ts organizational process assets inﬂuence plan risk management process include limited uuorganizational risk policy uurisk categories possibly organized risk breakdown structure uucommon deﬁnitions risk concepts terms uurisk statement formats uutemplates risk management plan risk register risk report uuroles responsibilities uuauthority levels decision making uulessons learned repository previous similar projects part guide pl risk managem ent tools tec hniques,[],complete risk statement identiﬁ ed risks clearly unambiguously described understood responsible risk assessment risk response planning single words phrases resources logistics inadequate properly communicate nature risk detailed risk descriptions required explicitly state uncertainty causes effects chapter identify risks ownership level detail,CHAPTER 5  -  IDENTIFY RISKS,5.2.8 Complete Risk Statement
5,5,11.1,11.1 PLAN RISK MANAGEMENT,11.1.2,11.1 PLAN RISK MANAGEMENT Tools and Techniques,Tools and Techniques,11.1.2.1 Expert judgment,11.1.2,exper judgment described section expertise considered individuals groups specialized knowledge training following topics uufamiliarity organizations approach managing risk including enterprise risk management performed uutailoring risk management speciﬁc needs project uutypes risk likely encountered projects area,['Section 4.1.2.1.'],complete risk statement identiﬁ ed risks clearly unambiguously described understood responsible risk assessment risk response planning single words phrases resources logistics inadequate properly communicate nature risk detailed risk descriptions required explicitly state uncertainty causes effects chapter identify risks ownership level detail,CHAPTER 5  -  IDENTIFY RISKS,5.2.8 Complete Risk Statement
6,6,11.1,11.1 PLAN RISK MANAGEMENT,11.1.2,11.1 PLAN RISK MANAGEMENT Tools and Techniques,Tools and Techniques,11.1.2.2 Data analysis,11.1.2,data analy sis data analysis techniques used process includes limited stakeholder analysis section determine risk appetite project stakeholders,['Section 13.1.2.3'],data gathering tools data gathering tools used process include assessment historical data workshops interviews questionnaires gather quantiﬁ ed informationfor example probability risk occurring probability distribution potential impacts cost time relationships correlation risks chapter perform quantitative risk analysis effective presentation quantitative analysis results,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.3.4 Data Gathering Tools
7,7,11.1,11.1 PLAN RISK MANAGEMENT,11.1.2,11.1 PLAN RISK MANAGEMENT Tools and Techniques,Tools and Techniques,11.1.2.3 Meetings,11.1.2,meetin gs risk management plan may developed part project kickoff meeting speciﬁc planning meeting may held attendees may include project manager selected project team members key stakeholders team members responsible manage risk management process project others outside organization may also invited needed including customers sellers regulators skilled facilitator help participants remain focused task agree key aspects risk approach identify overcome sources bias resolve disagreements may arise plans conducting risk management activities deﬁned meetings documented risk management plan see section,['Section 11.1.3.1'],planning sessions planning sessions recommended order build common understanding projects risk approach project stakeholders gain agreement techniques used managing risk elaboration risk management plan often serves develop effective means team work together since similar consultative team approach used subsequent stages risk management process participants include project manager selected project team members stakeholders members broader organization responsibility risk subject matter experts facilitators needed point initial risk responsibilities methodology templates terms deﬁ nitions time schedules cost budgets project risk management processes assigned accepted speciﬁ cation tools used subsequent processes include parameters inputs required ensure applicability speciﬁ c project documented risk management plan formally approved principal deliverable plan risk management process chapter plan risk management templates,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.3.1 Planning Sessions
8,8,11.1,11.1 PLAN RISK MANAGEMENT,11.1.3,11.1 PLAN RISK MANAGEMENT OUTPUTS,OUTPUTS,11.1.3.1 Risk management plan,11.1.3,pl risk managem ent outputs risk managem ent plan risk management plan component project management plan describes risk management activities structured performed risk management plan may include following elements uurisk strategy describes general approach managing risk project uumethodology deﬁnes speciﬁc approaches tools data sources used perform risk management project uuroles responsibilities deﬁnes lead support risk management team members type activity described risk management plan clariﬁes responsibilities uufunding identiﬁes funds needed perform activities related project risk management establishes protocols application contingency management reserves uutiming deﬁnes often project risk management processes performed throughout project life cycle establishes risk management activities inclusion project schedule uurisk categories provide means grouping individual project risks common way structure risk categories risk breakdown structure rbs hierarchical representation potential sources risk see example uustakeholder risk appetite risk appetites key stakeholders project recorded risk management plan inform details plan risk management process particular stakeholder risk appetite expressed measurable risk thresholds around project objective thresholds determine acceptable level overall project risk exposure also used inform deﬁnitions probability impacts used assessing prioritizing individual project risks uudefinitions risk probability impacts deﬁnitions risk probability impact levels speciﬁc project context reﬂect risk appetite thresholds organization key stakeholders project may generate speciﬁc deﬁnitions probability impact levels may start general deﬁnitions provided organization number levels reﬂects degree detail required project risk management process levels used detailed risk approach typically ﬁve levels fewer simple process usually three ange part guideuuprobability impact matrix described section prioritization rules may speciﬁed organization advance project included organizational process assets may tailored speciﬁc project opportunities threats represented common probability impact matrix using positive deﬁnitions impact opportunities negative impact deﬁnitions threats descriptive terms high high medium low low numeric values used probability impact numeric values used multiplied give probabilityimpact score risk allows relative priority individual risks evaluated within priority level example probability impact matrix presented uureporting formats reporting formats deﬁne outcomes project risk management process documented analyzed communicated section risk management plan describes content format risk register risk report well required outputs project risk management processes uutracking tracking documents risk activities recorded risk management processes audited identify risks considers individual project risks sources overall project risk participants risk identiﬁcation activities may include following project manager project team members project risk specialist assigned customers subject matter experts outside project team end users project managers operations managers stakeholders risk management experts within organization personnel often key participants risk identiﬁcation project stakeholders encouraged identify individual project risks particularly important involve project team develop maintain sense ownership responsibility identiﬁed individual project risks level overall project risk associated risk response actions describing recording individual project risks consistent format used risk statements ensure risk understood clearly unambiguously order support effective analysis risk response development risk owners individual project risks may nominated part identify risks process conﬁrmed perform qualitative risk analysis process preliminary risk responses may also identiﬁed recorded reviewed conﬁrmed part plan risk responses process identify risks iterative process since new individual project risks may emerge project progresses life cycle level overall project risk also change frequency iteration participation risk identiﬁcation cycle vary situation deﬁned risk management plan identify risks puts,[],purpose objectives plan risk management process objectives plan risk management process develop overall risk management strategy project decide risk management processes executed integrate project risk management project management activities effective risk management requires creation risk management plan plan describes risk management processes carried ﬁ project management processes broader level describes relationships among project risk management general project management management processes rest organization provide greatest beneﬁ initial risk management planning carried early overall planning project corresponding risk management activities integrated overall project management plan risk management plan may subsequently need adapted needs project stakeholders become clearer change although project risk management processes form integral part overall project management plan budget terms resources cost time speciﬁ c risk management activities established order better track control necessary defend corresponding expenditures throughout project cost treating risks included appropriately project budget risk management plan describe part project budget evaluated allocated managed risk management plan deﬁ ne monitoring methods ensure corresponding expenditures tracked appropriately well conditions approved budget risk management modiﬁ ed way project management process progressive elaboration risk management activities need repeated throughout project risk management plan deﬁ ne normal frequency repeating processes well speciﬁ c exceptional conditions corresponding actions initiated corresponding risk management activities integrated project management plan two categories success criteria risk management success project general success project risk managementchapter plan risk management projectrelated criteria assess success project risk management stakeholders must agree acceptable level results projectrelated criteria cost time scope order ensure consistency agreement among stakeholders risk management plan present objectives reference project deﬁ nition documents provide guidance risk management particularly prioritizing risk responses stakeholders also prioritize project objective processrelated criteria measures success project risk management depend number factors inherent level uncertainty project example project risk management process research project needs address unforeseen changes project predictable environment research project risk management process may considered success even results variance baseline would allowable successful process predictable project level risk considered acceptable project depends risk attitudes relevant stakeholders risk attitudes organization stakeholders may inﬂ uenced number factors need identiﬁ ed include inherent tolerance uncertainty relative importance achieving missing speciﬁ c project objectives output analysis taken account setting thresholds providing weighting factors applying project risk management processes speciﬁ c project guidelines rules escalating riskrelated information management stakeholders reﬂ ect risk attitudes expectations corresponding stakeholders project manager maintain effective communication stakeholders project evolves order become aware changes stakeholders attitudes adapt risk management approach take new facts account important participants share common understanding terms used describe risks critical values thresholds serve parameters tools deﬁ ned manner consistent scope project attitudes stakeholders qualitative analysis uses terms high impact medium probability deﬁ ned objectively risk management plan similarly risk management plan specify key numerical values required quantitative analysis decisionmaking risk response planning risk monitoring control risk management planning establish type level risk detail addressed provide template risk register used recording riskrelated information risk management plan also indicate intensity effort frequency various project risk management processes applied depends characteristics project well speciﬁ ed risk management objectives order project risk management processes carried correctly effectively project team stakeholders need know expected participate criteria determining success level authority action take relative actions decisions beyond level risk management plan speciﬁ es projects risk management roles responsibilities deﬁ nes corresponding expectations senior management project personnel chapter plan risk management riskrelated communication occurs two levels within project team b project team project stakeholders principles categories communication deﬁ ned risk management plan team plan describes frequency scope various risk management meetings reports required carry corresponding project risk management processes well structure content meetings reports stakeholders plan sets expectations structure content frequency routine documents received well way information shared escalation exceptional events details information required project team stakeholders also clearly deﬁ ned critical success factors plan risk management process,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.1 Purpose and Objectives of the Plan Risk Management Process
9,9,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.1 Project management plan,11.2.1,project managem ent plan described section project management plan components include limited uurequirements management plan described section requirements management plan may indicate project objectives particularly risk uuschedule management plan described section schedule management plan may identify areas subject uncertainty ambiguity uucost management plan described section cost management plan may identify areas subject uncertainty ambiguity uuquality management plan described section quality management plan may identify areas subject uncertainty ambiguity key assumptions made might give rise risk uuresource management plan described section resource management plan may identify areas subject uncertainty ambiguity key assumptions made might give rise risk part guideuurisk management plan described section risk management plan provides information riskrelated roles responsibilities indicates risk management activities included budget schedule describes categories risk may expressed risk breakdown structure uuscope baseline described section scope baseline includes deliverables criteria acceptance might give rise risk also contains wbs used framework structure risk identiﬁcation techniques uuschedule baseline described section schedule baseline may reviewed identify milestones deliverable due dates subject uncertainty ambiguity key assumptions made might give rise risk uucost baseline described section cost baseline may reviewed identify costs funding requirements subject uncertainty ambiguity key assumptions made might give rise risk,"['Section 4.2.3.1.', 'Section 5.1.3.2.', 'Section 6.1.3.1.', 'Section 7.1.3.1.', 'Section 8.1.3.1.', 'Section 9.1.3.1.', 'Section 11.1.3.1', 'Section 5.4.3.1.', 'Section 6.5.3.1.', 'Section 7.3.3.1.']",deﬁ nition project risk word risk used many ways everyday language various specialist disciplines use pmbok guide fourth edition consistent risk management standards process descriptions deﬁ nition project risk given pmbok guide fourth edition follows project risk uncertain event condition occurs positive negative effect projects objectives deﬁ nition includes two key dimensions risk uncertainty effect projects objectives assessing importance project risk two dimensions must considered uncertainty dimension may described using term probability effect may called impact though descriptors possible likelihood consequence deﬁ nition risk includes distinct events uncertain clearly described general conditions less speciﬁ c also may give risk uncertainty deﬁ nition project risk also encompasses uncertain events could negative effect projects objectives well could positive effect two types risk called respectively threats opportunities important address threats opportunities within uniﬁ ed project risk management process allows gain synergies efﬁ ciencies addressing analyses coordinating responses overlap reinforce chapter principles concepts risks uncertain future events conditions may may occur would matter occur important distinguish risks riskrelated features cause effect causes events circumstances currently exist certain exist future might give rise risks effects conditional future events conditions would directly affect one project objectives associated risk occurs causeriskeffect chain used structured risk statement risk description ensure three elements properly described see section risk event occurs ceases become uncertain threats occur may called issues problems opportunities occur may called beneﬁ ts issuesproblems beneﬁ ts entail project management actions outside scope project risk management process individual risks overall project risk,CHAPTER 2  -  PRINCIPLES AND CONCEPTS,2.2 Deﬁ nition of Project Risk
