,numChapter,Chapter,numSubChapter,subChapter,Type,numSubTitle,subTitle,content,Ref
0,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.1 Project charter,11.1.1,"11.1.1.1 PROJECT CHAR TER
Described in Section 4.1.3.1. The project charter documents the high-level project description and boundaries, high-
level requirements, and risks.40311.1.1.2",['Section 4.1.3.1.']
1,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.2 Project management plan,11.1.1,"11.1.1.2 PROJECT MANAGEM ENT PLAN
Described in Section 4.2.3.1. In planning Project Risk Management, all approved subsidiary management plans 
should be taken into consideration in order to make the risk management plan consistent with them. The methodology 
outlined in other project management plan components might inﬂuence the Plan Risk Management process.
11.1.1.3",['Section 4.2.3.1.']
2,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.3 Project documents,11.1.1,"11.1.1.3 PROJE CT DOCUM ENTS
Project documents that can be considered as inputs for this process include but are not limited to the stakeholder 
register as described in Section 13.1.3.1. The stakeholder register contains details of the project’s stakeholders and 
provides an overview of their project roles and their attitude toward risk on this project. This is useful in determining roles and responsibilities for managing risk on the project, as well as setting risk thresholds for the project.
11.1.1.4",['Section 13.1.3.1']
3,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.4 Enterprise environmental factors,11.1.1,"11.1.1.4 ENTERPR ISE ENVIRONM ENTAL  FACTORS
The enterprise environmental factors that can inﬂuence the Plan Risk Management process include but are not 
limited to overall risk thresholds set by the organization or key stakeholders.11.1.1.5",[]
4,11.1,11.1 PLAN RISK MANAGEMENT,11.1.1,11.1 PLAN RISK MANAGEMENT INPUTS,INPUTS,11.1.1.5 Organizational process assets,11.1.1,"11.1.1.5 ORGANIZATIONAL  PROCE SS ASSE TS
The organizational process assets that can inﬂuence the Plan Risk Management process include but are not 
limited to:
uuOrganizational risk policy;
uuRisk categories, possibly organized into a risk breakdown structure;
uuCommon deﬁnitions of risk concepts and terms;
uuRisk statement formats;
uuTemplates for the risk management plan, risk register, and risk report;
uuRoles and responsibilities;
uuAuthority levels for decision making; and
uuLessons learned repository from previous similar projects.404 Part 1 - Guide11.1.2 PL AN RISK MANAGEM ENT: TOOLS AND TEC HNIQUES
11.1.2.1",[]
5,11.1,11.1 PLAN RISK MANAGEMENT,11.1.2,11.1 PLAN RISK MANAGEMENT Tools and Techniques,Tools and Techniques,11.1.2.1 Expert judgment,11.1.2,"11.1.2.1 EXPER T JUDGMENT
Described in Section 4.1.2.1. Expertise should be considered from individuals or groups with specialized knowledge 
or training in the following topics:
uuFamiliarity with the organization’s approach to managing risk, including enterprise risk management where this 
is performed;
uuTailoring risk management to the speciﬁc needs of a project; and
uuTypes of risk that are likely to be encountered on projects in the same area.
11.1.2.2",['Section 4.1.2.1.']
6,11.1,11.1 PLAN RISK MANAGEMENT,11.1.2,11.1 PLAN RISK MANAGEMENT Tools and Techniques,Tools and Techniques,11.1.2.2 Data analysis,11.1.2,"11.1.2.2 DATA ANALY SIS
Data analysis techniques that can be used for this process includes but are not limited to a stakeholder analysis 
(Section 13.1.2.3) to determine the risk appetite of project stakeholders.
11.1.2.3",['Section 13.1.2.3']
7,11.1,11.1 PLAN RISK MANAGEMENT,11.1.2,11.1 PLAN RISK MANAGEMENT Tools and Techniques,Tools and Techniques,11.1.2.3 Meetings,11.1.2,"11.1.2.3 MEETIN GS
The risk management plan may be developed as part of the project kick-off meeting or a speciﬁc planning meeting 
may be held. Attendees may include the project manager, selected project team members, key stakeholders, or team 
members who are responsible to manage the risk management process on the project. Others outside the organization may also be invited, as needed, including customers, sellers, and regulators. A skilled facilitator can help participants remain focused on the task, agree on key aspects of the risk approach, identify and overcome sources of bias, and resolve any disagreements that may arise.
Plans for conducting risk management activities are deﬁned in these meetings and documented in the risk 
management plan (see Section 11.1.3.1",['Section 11.1.3.1']
8,11.1,11.1 PLAN RISK MANAGEMENT,11.1.3,11.1 PLAN RISK MANAGEMENT OUTPUTS,OUTPUTS,11.1.3.1 Risk management plan,11.1.3,"11.1.3.1).40511.1.3 PL AN RISK MANAGEM ENT: OUTPUTS
11.1.3.1 RISK MANAGEM ENT PLAN
The risk management plan is a component of the project management plan that describes how risk management 
activities will be structured and performed. The risk management plan may include some or all of the following elements:
uuRisk strategy. Describes the general approach to managing risk on this project.
uuMethodology. Deﬁnes the speciﬁc approaches, tools, and data sources that will be used to perform risk 
management on the project.
uuRoles and responsibilities. Deﬁnes the lead, support, and risk management team members for each type of activity described in the risk management plan, and clariﬁes their responsibilities.
uuFunding. Identiﬁes the funds needed to perform activities related to Project Risk Management. Establishes 
protocols for the application of contingency and management reserves.
uuTiming. Deﬁnes when and how often the Project Risk Management processes will be performed throughout the project life cycle, and establishes risk management activities for inclusion into the project schedule.
uuRisk categories. Provide a means for grouping individual project risks. A common way to structure risk categories is with a risk breakdown structure (RBS), which is a hierarchical representation of potential sources of risk (see example in 407uuStakeholder risk appetite. The risk appetites of key stakeholders on the project are recorded in the risk 
management plan, as they inform the details of the Plan Risk Management process. In particular, stakeholder risk 
appetite should be expressed as measurable risk thresholds around each project objective. These thresholds will determine the acceptable level of overall project risk exposure, and they are also used to inform the deﬁnitions of probability and impacts to be used when assessing and prioritizing individual project risks.
uuDefinitions of risk probability and impacts. Deﬁnitions of risk probability and impact levels are speciﬁc to the project context and reﬂect the risk appetite and thresholds of the organization and key stakeholders. The project may generate speciﬁc deﬁnitions of probability and impact levels or it may start with general deﬁnitions provided by the organization. The number of levels reﬂects the degree of detail required for the Project Risk Management process, with more levels used for a more detailed risk approach (typically ﬁve levels), and fewer for a simple process (usually three). 

ange408 Part 1 - GuideuuProbability and impact matrix. Described in Section . Prioritization rules may be speciﬁed by the 
organization in advance of the project and be included in organizational process assets, or they may be tailored to the speciﬁc project. Opportunities and threats are represented in a common probability and impact matrix using positive deﬁnitions of impact for opportunities and negative impact deﬁnitions for threats. Descriptive terms (such as very high, high, medium, low, and very low) or numeric values can be used for probability and impact. Where numeric values are used, these can be multiplied to give a probability-impact score for each risk, which allows the relative priority of individual risks to be evaluated within each priority level. An example probability and impact matrix is presented in 

uuReporting formats. Reporting formats deﬁne how the outcomes of the Project Risk Management process will be documented, analyzed, and communicated. This section of the risk management plan describes the content and format of the risk register and the risk report, as well as any other required outputs from the Project Risk Management processes.
uuTracking. Tracking documents how risk activities will be recorded and how risk management processes will 
be audited.
411Identify Risks considers both individual project risks and sources of overall project risk. Participants in risk 
identiﬁcation activities may include the following: project manager, project team members, project risk specialist 
(if assigned), customers, subject matter experts from outside the project team, end users, other project managers, operations managers, stakeholders, and risk management experts within the organization. While these personnel are often key participants for risk identiﬁcation, all project stakeholders should be encouraged to identify individual project risks. It is particularly important to involve the project team so they can develop and maintain a sense of ownership and responsibility for identiﬁed individual project risks, the level of overall project risk, and associated risk response actions.
When describing and recording individual project risks, a consistent format should be used for risk statements to 
ensure that each risk is understood clearly and unambiguously in order to support effective analysis and risk response development. Risk owners for individual project risks may be nominated as part of the Identify Risks process, and will be conﬁrmed during the Perform Qualitative Risk Analysis process. Preliminary risk responses may also be identiﬁed and recorded and will be reviewed and conﬁrmed as part of the Plan Risk Responses process.
Identify Risks is an iterative process, since new individual project risks may emerge as the project progresses through 
its life cycle and the level of overall project risk will also change. The frequency of iteration and participation in each risk identiﬁcation cycle will vary by situation, and this will be deﬁned in the risk management plan.
11.2.1 IDENTIFY RISKS: IN PUTS
11.2.1.1",[]
9,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.1 Project management plan,11.2.1,"11.2.1.1 PROJECT MANAGEM ENT PLAN
Described in Section 4.2.3.1. Project management plan components include but are not limited to:
uuRequirements management plan. Described in Section 5.1.3.2. The requirements management plan may indicate project objectives that are particularly at risk.
uuSchedule management plan. Described in Section 6.1.3.1. The schedule management plan may identify areas that are subject to uncertainty or ambiguity.
uuCost management plan. Described in Section 7.1.3.1. The cost management plan may identify areas that are subject to uncertainty or ambiguity.
uuQuality management plan. Described in Section 8.1.3.1. The quality management plan may identify areas that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.
uuResource management plan. Described in Section 9.1.3.1. The resource management plan may identify areas that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.412 Part 1 - GuideuuRisk management plan. Described in Section 11.1.3.1. The risk management plan provides information on 
risk-related roles and responsibilities, indicates how risk management activities are included in the budget and schedule, and describes categories of risk, which may be expressed as a risk breakdown structure (
uuScope baseline. Described in Section 5.4.3.1. The scope baseline includes deliverables and criteria for their acceptance, some of which might give rise to risk. It also contains the WBS, which can be used as a framework to structure risk identiﬁcation techniques.
uuSchedule baseline. Described in Section 6.5.3.1. The schedule baseline may be reviewed to identify milestones and deliverable due dates that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.
uuCost baseline. Described in Section 7.3.3.1. The cost baseline may be reviewed to identify costs or funding requirements that are subject to uncertainty or ambiguity, or where key assumptions have been made that might give rise to risk.
11.2.1.2","['Section 4.2.3.1.', 'Section 5.1.3.2.', 'Section 6.1.3.1.', 'Section 7.1.3.1.', 'Section 8.1.3.1.', 'Section 9.1.3.1.', 'Section 11.1.3.1', 'Section 5.4.3.1.', 'Section 6.5.3.1.', 'Section 7.3.3.1.']"
10,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.2 Project documents,11.2.1,"11.2.1.2 PROJECT DOCUM ENTS
Project documents that can be considered as inputs for this process include but are not limited to:
uuAssumption log. Described in Section 4.1.3.2. Assumptions and constraints recorded in the assumption log may give rise to individual project risks and may also inﬂuence the level of overall project risk.
uuCost estimates. Described in Section 7.2.3.1. Cost estimates provide quantitative assessments of project costs, ideally expressed as a range, indicating the degree of risk, where a structured review of the documents may indicate that the current estimate is insufﬁcient and poses a risk to the project.
uuDuration estimates. Described in Section 6.4.3.1. Duration estimates provide quantitative assessments of project durations, ideally expressed as a range, indicating the degree of risk, where a structured review of the documents may indicate that the current estimate is insufﬁcient and poses a risk to the project.
uuIssue log. Described in Section 4.3.3.3. Issues recorded in the issue log may give rise to individual project risks and may also inﬂuence the level of overall project risk.
uuLessons learned register. Described in Section 4.4.3.1. Lessons learned about risk identiﬁed from earlier phases of the project are reviewed to determine whether similar risks might recur during the remainder of the project.
uuRequirements documentation. Described in Section 5.2.3.1. Requirements documentation lists the project requirements and allows the team to identify those that could be at risk.413uuResource requirements. Described in Section 9.2.3.1. Resource requirements provide quantitative 
assessments of project resource requirements, ideally expressed as a range, indicating the degree of risk, where a structured review of the documents may indicate that the current estimate is insufﬁcient and poses a risk to the project.
uuStakeholder register. Described in Section 13.1.3.1. The stakeholder register indicates which individuals or groups might participate in identifying risks to the project. It also details those individuals who are available to act as risk owners.
11.2.1.3","['Section 4.1.3.2.', 'Section 7.2.3.1.', 'Section 6.4.3.1.', 'Section 4.3.3.3.', 'Section 4.4.3.1.', 'Section 5.2.3.1.', 'Section 9.2.3.1.', 'Section 13.1.3.1']"
11,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.3 Agreements,11.2.1,"11.2.1.3 AGREEM ENTS
Described in Section 12.2.3.2. If the project requires external procurement of resources, the agreements may have 
information such as milestone dates, contract type, acceptance criteria, and awards and penalties that can present threats or opportunities.
11.2.1.4",['Section 12.2.3.2']
12,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.4 Procurement documentation,11.2.1,"11.2.1.4 PROC UREM ENT DOCUM ENTA TION
Described in Section 12.3.1.4. If the project requires external procurement of resources, the initial procurement 
documentation should be reviewed as procuring goods and services from outside the organization may increase or 
decrease overall project risk and may introduce additional individual project risks. As the procurement documentation is updated throughout the project, the most up to date documentation can be reviewed for risks. For example, seller performance reports, approved change requests and information on inspections. 
11.2.1.5",['Section 12.3.1.4']
13,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.5 Enterprise environmental factors,11.2.1,"11.2.1.5 ENTERPR ISE ENVIRONM ENTAL  FACTORS
The enterprise environmental factors that can inﬂuence the Identify Risks process include but are not limited to:
uuPublished material, including commercial risk databases or checklists,
uuAcademic studies,
uuBenchmarking results, and
uuIndustry studies of similar projects.
11.2.1.6",[]
14,11.2,11.2 IDENTIFY RISKS,11.2.1,11.2 IDENTIFY RISKS INPUTS,INPUTS,11.2.1.6 Organizational process assets,11.2.1,"11.2.1.6 ORGANIZATIONAL  PROCE SS ASSE TS
The organizational process assets that can inﬂuence the Identify Risks process include but are not limited to:
uuProject ﬁles, including actual data,
uuOrganizational and project process controls,
uuRisk statement formats, and
uuChecklists from previous similar projects.414 Part 1 - Guide11.2.2 IDENTIFY RISKS:  TOO LS AND TEC HNIQUES
11.2.2.1",[]
15,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.1 Expert judgment,11.2.2,"11.2.2.1 EXPER T JUDGMENT
Described in Section 4.1.2.1. Expertise should be considered from individuals or groups with specialized knowledge 
of similar projects or business areas. Such experts should be identiﬁed by the project manager and invited to consider 
all aspects of individual project risks as well as sources of overall project risk, based on their previous experience and areas of expertise. The experts’ bias should be taken into account in this process.
11.2.2.2",['Section 4.1.2.1.']
16,11.2,11.2 IDENTIFY RISKS,11.2.2,11.2 IDENTIFY RISKS Tools and Techniques,Tools and Techniques,11.2.2.2 Data gathering,11.2.2,"11.2.2.2 DATA GA THERING
Data-gathering techniques that can be used for this process include but are not limited to:
uuBrainstorming. The goal of brainstorming (see Section 4.1.2.2) is to obtain a comprehensive list of individual 
project risks and sources of overall project risk. The project team usually performs brainstorming, often with a multidisciplinary set of experts who are not part of the team. Ideas are generated under the guidance of a facilitator, either in a free-form brainstorm session or one that uses more structured techniques. Categories of risk, such as in a risk breakdown structure, can be used as a framework. Particular attention should be paid to ensuring that risks identiﬁed through brainstorming are clearly described, since the technique can result in ideas that are not fully formed.
uuChecklists. A checklist is a list of items, actions, or points to be considered. It is often used as a reminder. Risk checklists are developed based on historical information and knowledge that has been accumulated from similar projects and from other sources of information. They are an effective way to capture lessons learned from similar completed projects, listing speciﬁc individual project risks that have occurred previously and that may be relevant to this project. The organization may maintain a risk checklist based on its own completed projects or may use generic risk checklists from the industry. While a checklist may be quick and simple to use, it is impossible to build an exhaustive one, and care should be taken to ensure the checklist is not used to avoid the effort of proper risk identiﬁcation. The project team should also explore items that do not appear on the checklist. Additionally, the checklist should be reviewed from time to time to update new information as well as remove or archive obsolete information.
uuInterviews. Individual project risks and sources of overall project risk can be identiﬁed by interviewing experienced project participants, stakeholders, and subject matter experts. Interviews (see Section 5.2.2.2) should be conducted in an environment of trust and conﬁdentiality to encourage honest and unbiased contributions.41511.2.2.3","['Section 4.1.2.2)', 'Section 5.2.2.2)']"
